CCAA;CuentaDeNOMBRE_CATEDRA
Andalucia;27
Andalucia;11
Andalucia;30
Andalucia;40
Andalucia;75
;183
Aragon;5
Aragon;4
Aragon;14
Aragon;34
Aragon;20
;77
Asturias;2
Asturias;6
Asturias;2
;10
Canarias;1
Canarias;2
Canarias;6
Canarias;5
Canarias;11
Cantabria;2
Cantabria;10
;37
Castilla y Leon;19
Castilla y Leon;7
Castilla y Leon;7
Castilla y Leon;41
Castilla-La Mancha;1
Castilla-La Mancha;2
Castilla-La Mancha;3
;80
Catalunia;24
Catalunia;14
Catalunia;37
Catalunia;28
Catalunia;67
;170
Comunidad de Madrid;11
Comunidad de Madrid;8
Comunidad de Madrid;68
Comunidad de Madrid;95
Comunidad de Madrid;71
Comunidad Valenciana;23
Comunidad Valenciana;7
Comunidad Valenciana;36
Comunidad Valenciana;46
Comunidad Valenciana;81
;446
Estado;1
Estado;2
Estado;1
Estado;3
;7
Extremadura;1
Extremadura;5
;6
Galicia;7
Galicia;1
Galicia;5
Galicia;12
Galicia;15
;40
Islas Baleares;4
Islas Baleares;2
Islas Baleares;1
Islas Baleares;2
Islas Baleares;6
;15
La Rioja;2
La Rioja;4
La Rioja;4
;10
Murcia;3
Murcia;2
Murcia;20
Murcia;38
Murcia;33
;96
Navarra;5
Navarra;3
Navarra;2
Navarra;17
Navarra;21
;48
Pais Vasco;5
Pais Vasco;2
Pais Vasco;1
Pais Vasco;9
;17
